,API,Formation,MD,SS
423,490251112000,F1WC,2290.8,2695.2
424,490251112000,F1WCbase,2406.33,2579.67
425,490251112000,B1,2522.98,2463.02
426,490251112000,NBRRws,1611.93,3374.07
427,490251112000,NBRRsg,1840.41,3145.59
428,490251112000,SHNNl,148.12,4837.88
429,490251112000,SHNNbs,219.81,4766.19
430,490251112000,SHNNu,57.86,4928.14
431,490251112000,CRLL,2063.37,2922.63
432,490250655000,SSXS,325.68,4779.32
433,490250655000,SSXbase,378.92,4726.08
434,490250655000,SHNNu,745.87,4359.13
435,490250655000,SHNNl,844.34,4260.66
436,490251078700,SHNNbs,884.97,4431.03
437,490251078700,SHNNl,814.31,4501.69
438,490251078700,SHNNu,718.74,4597.26
439,490251029400,SHNNu,373.9,4806.1
440,490251029400,SHNNl,461.09,4718.91
441,490251029400,SHNNbs,538.14,4641.86
442,490251055100,SSXbase,54.14,5040.86
443,490251055100,SHNNu,422.57,4672.43
444,490251055100,SHNNl,515.2,4579.8
445,490251055100,SHNNbs,586.58,4508.42
446,490251028400,SHNNl,491.5,4740.5
447,490251028400,SSXbase,32.34,5199.66
448,490251028400,SHNNu,404.14,4827.86
449,490251028400,SHNNbs,562.61,4669.39
450,490252305500,SHNNu,1109.54,4194.46
451,490252305500,SHNNl,1187.81,4116.19
452,490252305500,SHNNbs,1266.07,4037.93
453,490252305500,SSXS,616.08,4687.92
454,490252305500,SSXbase,662.67,4641.33
455,490251102400,SHNNu,385.12,4812.18
456,490251102400,SHNNl,472.27,4725.03
457,490251102400,SHNNbs,547.25,4650.05
458,490251102400,SSXbase,17.29,5180.01
459,490251101700,SHNNbs,551.77,4645.23
460,490251101700,SHNNl,475.73,4721.27
461,490251101700,SHNNu,390.57,4806.43
462,490251101700,SSXbase,16.47,5180.53
463,490252248400,SHNNu,727.73,4381.27
464,490252248400,SHNNl,819.58,4289.42
465,490252248400,SSXS,318.99,4790.01
466,490252248400,SSXbase,369.63,4739.37
467,490252248400,SHNNbs,877.92,4231.08
468,490252274700,SHNNu,408.14,4790.86
469,490252274700,SHNNl,493.62,4705.38
470,490251104700,F2WCbase,3093.34,2090.66
471,490251104700,SHNNu,418.69,4765.31
472,490251104700,SHNNl,506.54,4677.46
473,490251104700,SHNNbs,584.52,4599.48
474,490251104700,SSXbase,57.14,5126.86
475,490251104700,SSXS,10.86,5173.14
476,490251104700,F1WC,2602.57,2581.43
477,490251104700,F2WC,3017.4,2166.6
478,490251104700,B1,2846.66,2337.34
479,490251104700,F1WCbase,2797.84,2386.16
480,490251036200,SHNNu,404.11,4714.89
481,490251036200,SHNNl,492.19,4626.81
482,490251036200,F1WC,2644.13,2474.87
483,490251036200,F2WCbase,3118.22,2000.78
484,490251036200,B1,2879.52,2239.48
485,490251036200,F2WC,3049.23,2069.77
486,490251036200,SHNNbs,565.59,4553.41
487,490251036200,F1WCbase,2832.92,2286.08
488,490251067400,F2WC,2745.6,2252.4
489,490251067400,StFT,852.96,4145.04
490,490251067400,StAM,1501.56,3496.44
491,490251067400,StBR,475.35,4522.65
492,490251067400,StGD,1402.35,3595.65
493,490251067400,F1WC,2333.62,2664.38
494,490251067400,F1WCbase,2448.85,2549.15
495,490251067400,CRLL,2089.84,2908.16
496,490251067400,NBRRsg,1870.58,3127.42
497,490251067400,NBRRws,1642.12,3355.88
498,490251067400,B1,2568.11,2429.89
499,490251067400,SHNNu,66.27,4931.73
500,490251067400,SHNNl,158.44,4839.56
501,490251067400,SHNNbs,233.73,4764.27
502,490251067400,F2WCbase,2776.75,2221.25
503,490251064500,F2WCbase,2910.11,2131.89
504,490251064500,F2WC,2852.28,2189.72
505,490251064500,StGD,1511.36,3530.64
506,490251064500,StBR,598.7,4443.3
507,490251064500,NBRRws,1748.83,3293.17
508,490251064500,NBRRsg,1990.8,3051.2
509,490251064500,SHNNbs,354.71,4687.29
510,490251064500,SHNNl,281.62,4760.38
511,490251064500,CRLL,2216.28,2825.72
512,490251064500,F1WC,2459.91,2582.09
513,490251064500,F1WCbase,2566.01,2475.99
514,490251064500,B1,2676.04,2365.96
515,490251064500,F2WCbase,2903.91,2138.09
516,490251064500,StAM,1617.22,3424.78
517,490251064500,StFT,979.58,4062.42
518,490251064500,SHNNu,191.22,4850.78
519,490251097100,F2WCbase,2898.37,2133.63
520,490251097100,F2WC,2829.05,2202.95
521,490251097100,SHNNbs,336.15,4695.85
522,490251097100,SHNNl,261.96,4770.04
523,490251097100,SHNNu,170.66,4861.34
524,490251097100,NBRRws,1730.74,3301.26
525,490251097100,NBRRsg,1963.93,3068.07
526,490251097100,CRLL,2185.59,2846.41
527,490251097100,F1WC,2438.66,2593.34
528,490251097100,F1WCbase,2541.3,2490.7
529,490251097100,B1,2652.79,2379.21
530,490251097100,F2WCbase,2882.26,2149.74
531,490251097100,F3WC,3073.03,1958.97
532,490251097100,MWRY,3347.81,1684.19
533,490251097100,LKOT,3818.69,1213.31
534,490251097100,F3WCbase,3082.43,1949.57
535,490251097100,DKOT,3740.01,1291.99
536,490251097100,MRSN,3895.01,1136.99
537,490251097100,StAM,1602.96,3429.04
538,490251097100,StGD,1499.72,3532.28
539,490251097100,StFT,956.35,4075.65
540,490251097100,StBR,570.55,4461.45
541,490251055600,SSXbase,73.51,5052.49
542,490251055600,SHNNu,415.25,4710.75
543,490251055600,SHNNl,510.76,4615.24
544,490251055600,SHNNbs,579.01,4546.99
545,490251023000,SSXS,344.56,4769.44
546,490251023000,SSXbase,396.86,4717.14
547,490251023000,SHNNu,704.25,4409.75
548,490251023000,SHNNl,802.47,4311.53
549,490251057100,SHNNl,488.95,4698.05
550,490251057100,SHNNbs,564.46,4622.54
551,490251057100,SHNNu,404.51,4782.49
552,490251063100,SSXS,93.85,5122.15
553,490251063100,SHNNl,586.1,4629.9
554,490251063100,SSXbase,141.09,5074.91
