,UWI,DATUM,GL,EREF,UNIT,datum
1735,AA/05-26-096-07W4/0,357.957,357.957,357.957,M,357.957
1736,AA/05-26-097-10W4/0,303.9,303.9,303.9,M,303.9
1737,AA/05-30-087-16W4/0,1686.0,1686.0,1686.0,F,512.544
1738,AA/05-36-094-09W4/0,332.67,332.67,332.67,M,332.67
1739,AA/06-01-094-15W4/0,436.26,435.498,436.26,M,436.26
1740,AA/06-01-095-08W4/0,401.7,401.7,401.7,M,401.7
1741,AA/06-01-097-13W4/0,431.597,431.597,431.597,M,431.597
1742,AA/06-01-097-15W4/0,2151.7,2145.0,2151.7,F,654.1167999999999
1743,AA/06-04-097-14W4/0,639.166,639.166,639.166,M,639.166
1744,AA/06-06-078-25W4/0,645.28,645.28,650.03,M,650.03
1745,AA/06-06-094-16W4/0,1720.0,1718.0,1720.0,F,522.88
1746,AA/06-08-082-09W4/0,2335.0,2322.0,2335.0,F,709.84
1747,AA/06-08-083-08W4/0,730.2,726.0,730.2,M,730.2
1748,AA/06-08-096-14W4/0,562.67,559.67,562.67,M,562.67
1750,AA/06-11-089-20W4/0,512.6,512.6,516.91,M,516.91
1751,AA/06-11-090-10W4/0,358.2,358.2,358.2,M,358.2
1752,AA/06-11-091-10W4/0,335.82,335.82,335.82,M,335.82
1753,AA/06-13-087-07W4/0,438.38,436.85,438.38,M,438.38
1754,AA/06-14-076-07W4/0,607.14,607.14,610.79,M,610.79
1755,AA/06-15-087-07W4/0,442.45,440.9,442.45,M,442.45
1756,AA/06-16-091-13W4/0,449.32,445.95,449.32,M,449.32
1757,AA/06-16-100-14W4/0,719.633,716.28,719.633,M,719.633
1758,AA/06-18-097-09W4/0,315.0,315.0,315.0,M,315.0
1759,AA/06-18-097-15W4/0,734.964,734.964,734.964,M,734.964
1760,AA/06-20-089-10W4/0,397.32,397.32,397.32,M,397.32
1761,AA/06-23-077-25W4/0,741.0,737.31,741.0,M,741.0
1762,AA/06-24-085-08W4/0,1742.0,1738.0,1742.0,F,529.568
1763,AA/06-25-086-17W4/0,1692.0,1692.0,1692.0,F,514.3679999999999
1764,AA/06-25-095-16W4/0,1887.47,1876.64,1887.47,F,573.79088
1765,AA/06-25-096-14W4/0,527.9,524.9,527.9,M,527.9
1766,AA/06-28-094-13W4/0,403.5,400.2,403.5,M,403.5
1767,AA/06-29-101-14W4/0,778.0,774.8,778.0,M,778.0
1768,AA/06-30-095-08W4/0,318.75,318.75,318.75,M,318.75
1769,AA/06-30-097-09W4/0,299.6,299.6,299.6,M,299.6
1770,AA/06-31-096-09W4/0,336.8,336.8,336.8,M,336.8
1772,AA/06-31-101-12W4/0,792.2,788.8,792.2,M,792.2
1773,AA/06-34-085-19W4/0,592.0,588.9,592.0,M,592.0
1774,AA/06-35-089-10W4/0,367.5,367.5,367.5,M,367.5
1775,AA/06-35-090-10W4/0,346.73,346.73,0.0,M,0.0
1776,AA/06-35-101-14W4/0,791.46,788.2,791.46,M,791.46
1777,AA/06-36-090-09W4/0,410.261,409.042,410.261,M,410.261
1778,AA/07-02-091-17W4/0,504.29,501.0,504.29,M,504.29
1779,AA/07-04-086-15W4/0,1711.0,1711.0,1711.0,F,520.144
1780,AA/07-08-080-10W4/0,2260.0,2245.0,2260.0,F,687.04
1781,AA/07-08-101-12W4/0,817.6,814.2,817.6,M,817.6
1782,AA/07-09-099-14W4/0,795.6,792.0,795.6,M,795.6
1783,AA/07-10-094-14W4/0,415.0,415.0,415.0,M,415.0
1784,AA/07-11-088-19W4/0,522.76,522.76,527.06,M,527.06
1785,AA/07-11-090-15W4/0,471.72,468.52,471.72,M,471.72
1786,AA/07-16-088-20W4/0,525.1,525.1,529.58,M,529.58
1787,AA/07-16-096-12W4/0,342.9,341.681,342.9,M,342.9
1788,AA/07-18-087-10W4/0,426.933,426.933,426.933,M,426.933
1789,AA/07-18-089-12W4/0,1673.0,1673.0,1673.0,F,508.592
1790,AA/07-20-088-07W4/0,378.77,377.24,378.77,M,378.77
1791,AA/07-20-094-14W4/0,429.4,479.4,429.4,M,429.4
1792,AA/07-23-086-07W4/0,483.76,481.7,483.76,M,483.76
1793,AA/07-23-089-08W4/0,422.313,421.398,422.313,M,422.313
1794,AA/07-24-085-12W4/0,531.876,528.523,531.876,M,531.876
1795,AA/07-24-094-13W4/0,1180.5,1180.5,1180.5,F,358.872
1796,AA/07-24-096-13W4/0,414.528,413.309,414.528,M,414.528
1797,AA/07-24-098-12W4/0,1163.7,1163.7,1163.7,F,353.7648
1798,AA/07-25-096-09W4/0,288.69,288.69,288.69,M,288.69
1799,AA/07-26-077-08W4/0,551.7,551.7,555.2,M,555.2
1800,AA/07-26-080-08W4/0,670.55,666.9,670.55,M,670.55
1801,AA/07-26-080-10W4/0,2289.0,2280.0,2289.0,F,695.856
1802,AA/07-26-080-11W4/0,688.726,685.678,688.726,M,688.726
1803,AA/07-28-088-19W4/0,517.1,517.1,521.7,M,521.7
1804,AA/07-29-093-13W4/0,372.69,372.69,372.69,M,372.69
1805,AA/07-29-099-12W4/0,646.6,640.2,646.6,M,646.6
1806,AA/07-31-084-23W4/0,574.7,574.7,579.1,M,579.1
1807,AA/07-33-079-25W4/0,557.85,557.85,562.3,M,562.3
1808,AA/07-33-089-09W4/0,350.215,350.185,350.215,M,350.215
1809,AA/07-35-093-12W4/0,337.8,337.8,337.8,M,337.8
1810,AA/08-01-095-09W4/0,325.7,325.7,325.7,M,325.7
1811,AA/08-08-086-08W4/0,1625.0,1621.0,1625.0,F,494.0
1812,AA/08-11-084-12W4/0,569.366,567.69,569.366,M,569.366
1813,AA/08-14-088-12W4/0,456.743,455.005,456.743,M,456.743
1814,AA/08-15-099-12W4/0,569.062,566.014,569.062,M,569.062
1815,AA/08-17-095-09W4/0,302.6,302.6,302.6,M,302.6
1816,AA/08-18-096-16W4/0,651.5,647.9,651.5,M,651.5
1817,AA/08-19-098-11W4/0,333.78,333.78,333.78,M,333.78
1818,AA/08-21-085-08W4/0,2149.0,2144.6,2149.0,F,653.2959999999999
1820,AA/08-26-085-09W4/0,703.4,700.2,703.4,M,703.4
1821,AA/08-28-086-15W4/0,1631.0,1631.0,1631.0,F,495.824
1822,AA/08-29-081-11W4/0,2405.0,2395.0,2405.0,F,731.12
1823,AA/08-30-096-16W4/0,665.0,661.6,665.0,M,665.0
1824,AA/08-31-095-10W4/0,290.4,290.4,290.4,M,290.4
1825,AA/08-33-098-12W4/0,502.92,499.872,502.92,M,502.92
1826,AA/09-02-094-12W4/0,332.2,332.2,332.2,M,332.2
1827,00/09-05-098-13W4/0,726.65,723.4,726.65,M,726.65
1828,AA/09-06-100-13W4/0,787.8,784.0,787.8,M,787.8
1829,AA/09-08-090-15W4/0,470.97,467.77,470.97,M,470.97
1830,AA/09-09-089-15W4/0,508.58,505.38,508.58,M,508.58
1831,AA/09-10-094-07W4/0,525.658,524.134,525.658,M,525.658
1832,AA/09-11-079-15W4/0,637.08,633.71,637.08,M,637.08
1833,AA/09-11-082-13W4/0,663.5,659.0,663.5,M,663.5
1834,AA/09-16-092-14W4/0,1531.8,1528.8,1531.8,F,465.6672
