,SitID,Formation,MD,Quality,Unnamed: 0,UWI,DATUM,GL,EREF,UNIT,datum,UWI (AGS),TVDSS
72,102503,3000,,-1,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,
73,102503,4000,,-1,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,
74,102503,5000,449.50,1,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,208.29
75,102503,6000,,-1,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,
76,102503,7000,473.00,3,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,184.79
77,102503,9000,475.00,3,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,182.79
78,102503,9500,475.00,3,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,182.79
79,102503,10000,486.00,3,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,171.79
80,102503,11000,488.50,2,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,169.29
81,102503,12000,488.50,2,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,169.29
82,102503,13000,488.50,2,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,169.29
83,102503,14000,553.50,1,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,104.29
84,102505,1000,350.50,1,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,327.54
85,102505,2000,,-1,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,
86,102505,3000,,-1,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,
87,102505,4000,,-1,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,
88,102505,5000,464.00,1,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,214.04
89,102505,6000,,-1,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,
90,102505,7000,487.50,3,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,190.54
91,102505,9000,489.00,3,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,189.04
92,102505,9500,489.00,3,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,189.04
93,102505,10000,496.00,3,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,182.04
94,102505,11000,501.50,2,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,176.54
95,102505,12000,501.50,2,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,176.54
96,102505,13000,501.50,2,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,176.54
97,102505,14000,572.50,1,876.00,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,105.54
98,102507,1000,386.00,1,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,314.96
99,102507,2000,,-1,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,
100,102507,3000,,-1,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,
101,102507,4000,,-1,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,
102,102507,5000,506.00,1,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,194.96
103,102507,6000,,-1,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,
104,102507,7000,539.50,3,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,161.46
105,102507,9000,545.00,3,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,155.96
106,102507,9500,545.00,3,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,155.96
