API,Formation,SS,MD,Observation number
25/10-11,Sele Fm. Top,-2212.67,2239,1
25/10-11,NORDLAND GP. Top,-120,146,1
25/10-11,Utsira Fm. Top,-732.78,759,1
25/10-11,HORDALAND GP. Top,-911.7,938,1
25/10-11 T2,Grid Fm. Top,-1460.67,1487,1
25/10-11 T2,Statfjord Fm. Top,-4118.57,4146,1
25/10-11 T2,VIKING GP. Top,-3963.79,3991,1
25/10-11 T2,VIKING GP. Top,-4406.85,4435,2
25/10-11 T2,Draupne Fm. Top,-3963.79,3991,1
25/10-11 T2,Heather Fm. Top,-4406.85,4435,1
25/10-11 T2,CROMER KNOLL GP. Top,-3599.85,3627,1
25/10-11 T2,Roedby Fm. Top,-3599.85,3627,1
25/10-11 T2,Sola Fm. Top,-3869.82,3897,1
25/10-11 T2,Aasgard Fm. Top,-3926.82,3954,1
25/10-11 T2,DUNLIN GP. Top,-3996.75,4024,1
25/10-11 T2,VESTLAND GP. Top,-4322.97,4351,1
25/10-11 T2,VESTLAND GP. Top,-4472.81,4501,2
25/10-11 T2,Hugin Fm. Top,-4322.97,4351,1
25/10-11 T2,Hugin Fm. Top,-4472.81,4501,2
25/10-11 T2,SHETLAND GP. Top,-2709.95,2737,1
25/10-11 T2,Blodoeks Fm. Top,-3283.94,3311,1
25/10-11 T2,Ekofisk Fm. Top,-2709.95,2737,1
25/10-11 T2,Jorsalfare Fm. Top,-2751.94,2779,1
25/10-11 T2,Kyrre Fm. Top,-2841.94,2869,1
25/10-11 T2,Svarte Fm. Top,-3442.92,3470,1
25/10-11 T2,Tryggvason Fm. Top,-3096.94,3124,1
25/10-11 T2,ROGALAND GP. Top,-2109.31,2136,1
25/10-11 T2,Balder Fm. Top,-2109.31,2136,1
25/10-11 T2,Heimdal Fm. Top,-2285.96,2313,1
25/10-11 T2,Lista Fm. Top,-2267.97,2295,1
25/10-11 T2,Sele Fm. Top,-2212.05,2239,1
25/10-11 T2,Ty Fm. Top,-2398.95,2426,1
25/10-11 T2,NORDLAND GP. Top,-120,146,1
25/10-11 T2,Utsira Fm. Top,-732.78,759,1
25/10-11 T2,HORDALAND GP. Top,-911.7,938,1
25/10-12 ST2,Grid Fm. Top,-1548.01,1597,1
25/10-12 ST2,Statfjord Fm. Top,-2184.27,2241,1
25/10-12 ST2,Nansen Mb. Top,-2184.27,2241,1
25/10-12 ST2,Eiriksson Mb. Top,-2192.27,2249,1
25/10-12 ST2,HEGRE GP. Top,-2382.26,2439,1
25/10-12 ST2,Skagerrak Fm. Top,-2382.26,2439,1
25/10-12 ST2,Smith Bank Fm. Top,-2483.23,2540,1
25/10-12 ST2,VIKING GP. Top,-2057.27,2114,1
25/10-12 ST2,Draupne Fm. Top,-2057.27,2114,1
25/10-12 ST2,Heather Fm. Top,-2069.27,2126,1
25/10-12 ST2,CROMER KNOLL GP. Top,-2050.27,2107,1
25/10-12 ST2,Aasgard Fm. Top,-2050.27,2107,1
25/10-12 ST2,DUNLIN GP. Top,-2137.27,2194,1
25/10-12 ST2,Amundsen Fm. Top,-2137.27,2194,1
25/10-12 ST2,VESTLAND GP. Top,-2096.27,2153,1
25/10-12 ST2,Hugin Fm. Top,-2096.27,2153,1
25/10-12 ST2,SHETLAND GP. Top,-2024.27,2081,1
25/10-12 ST2,Ekofisk Fm. Top,-2024.27,2081,1
25/10-12 ST2,Hod Fm. Top,-2029.27,2086,1
25/10-12 ST2,ROGALAND GP. Top,-1828.8,1885,1
25/10-12 ST2,Balder Fm. Top,-1828.8,1885,1
25/10-12 ST2,Heimdal Fm. Top,-1929.29,1986,1
25/10-12 ST2,Lista Fm. Top,-1885.4,1942,1
25/10-12 ST2,Lista Fm. Top,-1985.27,2042,2
25/10-12 ST2,Sele Fm. Top,-1877.43,1934,1
25/10-12 ST2,Vaale Fm. Top,-2021.27,2078,1
25/10-12 ST2,NORDLAND GP. Top,-116,146,1
25/10-12 ST2,Utsira Fm. Top,-678.18,709,1
25/10-12 ST2,HORDALAND GP. Top,-823.99,857,1
25/10-12 ST2,Skade Fm. Top,-828.86,862,1
25/10-13 S,Grid Fm. Top,-1414.19,1452,1
25/10-13 S,Statfjord Fm. Top,-2317.7,2475,1
25/10-13 S,HEGRE GP. Top,-2388.16,2555,1
25/10-13 S,SHETLAND GP. Top,-2255.62,2405,1
25/10-13 S,Hod Fm. Top,-2277.73,2430,1
25/10-13 S,Tor Fm. Top,-2255.62,2405,1
25/10-13 S,Tryggvason Fm. Top,-2295.5,2450,1
25/10-13 S,ROGALAND GP. Top,-1852.62,1948,1
25/10-13 S,Balder Fm. Top,-1852.62,1948,1
25/10-13 S,Heimdal Fm. Top,-2018.56,2136,1
25/10-13 S,Lista Fm. Top,-1989.43,2103,1
25/10-13 S,Lista Fm. Top,-2067.76,2192,2
25/10-13 S,Sele Fm. Top,-1907.86,2011,1
25/10-13 S,Ty Fm. Top,-2217.71,2362,1
25/10-13 S,Vaale Fm. Top,-2084.45,2211,1
25/10-13 S,NORDLAND GP. Top,-119,150,1
25/10-13 S,Utsira Fm. Top,-523,554,1
25/10-13 S,HORDALAND GP. Top,-968.99,1000,1
25/10-13 S,HORDALAND GP. Top,-1250.37,1282,2
25/10-13 S,HORDALAND GP. Top,-1430.86,1470,3
25/10-13 S,Skade Fm. Top,-1152.86,1184,1
25/10-14 S,Grid Fm. Top,-1472.59,1540,1
25/10-14 S,Statfjord Fm. Top,-2213.64,2341,1
25/10-14 S,HEGRE GP. Top,-2282.64,2410,1
25/10-14 S,SHETLAND GP. Top,-2187.64,2315,1
25/10-14 S,Ekofisk Fm. Top,-2187.64,2315,1
25/10-14 S,ROGALAND GP. Top,-1783.17,1896,1
25/10-14 S,Balder Fm. Top,-1783.17,1896,1
25/10-14 S,Heimdal Fm. Top,-1954.56,2080,1
25/10-14 S,Lista Fm. Top,-1923.78,2048,1
25/10-14 S,Lista Fm. Top,-2033.01,2160,2
25/10-14 S,Sele Fm. Top,-1847.26,1967,1
25/10-14 S,Ty Fm. Top,-2094.68,2222,1
25/10-14 S,Vaale Fm. Top,-2049.78,2177,1
25/10-14 S,Vaale Fm. Top,-2154.64,2282,2
25/10-14 S,NORDLAND GP. Top,-120,151,1
25/10-14 S,Utsira Fm. Top,-522.96,554,1
25/10-14 S,HORDALAND GP. Top,-957.07,989,1
25/10-14 S,Skade Fm. Top,-1157.57,1192,1
25/10-2,ROGALAND GP. Top,-1926,1935,1
25/10-2,Balder Fm. Top,-1926,1935,1
25/10-2,Heimdal Fm. Top,-2076,2085,1
25/10-2,Lista Fm. Top,-2041,2050,1
25/10-2,Lista Fm. Top,-2137,2146,2
25/10-2,Sele Fm. Top,-1966,1975,1
25/10-2,NORDLAND GP. Top,-121,130,1
25/10-2,Utsira Fm. Top,-496,505,1
25/10-2,HORDALAND GP. Top,-746,755,1
25/10-2,Skade Fm. Top,-746,755,1
25/10-2 R,ROTLIEGENDES GP. Top,-2994.46,3014,1
25/10-2 R,Ty Mb. Top,-2250.88,2270,1
25/10-2 R,VIKING GP. Top,-2603.64,2623,1
25/10-2 R,SHETLAND GP. Top,-2365.83,2385,1
25/10-2 R,Hod Fm. Top,-2450.79,2470,1
25/10-2 R,Tor Fm. Top,-2365.83,2385,1
25/10-2 R,Tryggvason Fm. Top,-2522.75,2542,1
25/10-2 R,ROGALAND GP. Top,-1917.22,1935,1
25/10-2 R,Balder Fm. Top,-1917.22,1935,1
25/10-2 R,Heimdal Fm. Top,-2066.46,2085,1
25/10-2 R,Lista Fm. Top,-2127.24,2146,1
25/10-2 R,Sele Fm. Top,-1956.99,1975,1
25/10-2 R,Vaale Fm. Top,-2355.83,2375,1
25/10-2 R,NORDLAND GP. Top,-121,130,1
25/10-2 R,Utsira Fm. Top,-745.91,755,1
25/10-2 R,HORDALAND GP. Top,-1042.87,1052,1
25/10-2 R,BASEMENT Top,-3132.43,3152,1
25/10-2 RT3,ROGALAND GP. Top,-1926,1935,1
25/10-2 RT3,Balder Fm. Top,-1926,1935,1
25/10-2 RT3,Heimdal Fm. Top,-2076,2085,1
25/10-2 RT3,Lista Fm. Top,-2041,2050,1
25/10-2 RT3,Lista Fm. Top,-2137,2146,2
25/10-2 RT3,Sele Fm. Top,-1966,1975,1
25/10-2 RT3,NORDLAND GP. Top,-121,130,1
25/10-2 RT3,Utsira Fm. Top,-496,505,1
25/10-2 RT3,HORDALAND GP. Top,-746,755,1
25/10-2 RT3,Skade Fm. Top,-746,755,1
25/10-3,Grid Fm. Top,-1392,1401,1
25/10-3,SHETLAND GP. Top,-1902,1911,1
25/10-3,Ekofisk Fm. Top,-1902,1911,1
25/10-3,ROGALAND GP. Top,-1702,1711,1
25/10-3,Balder Fm. Top,-1702,1711,1
25/10-3,Balder Fm. Top,-1744,1753,2
25/10-3,Heimdal Fm. Top,-1832,1841,1
25/10-3,Heimdal Fm. Top,-1891,1900,2
25/10-3,Lista Fm. Top,-1870,1879,1
25/10-3,Lista Fm. Top,-1900,1909,2
25/10-3,Sele Fm. Top,-1760,1769,1
25/10-3,Sele Fm. Top,-1828,1837,2
25/10-3,Intra Balder Fm. Sst. Top,-1741,1750,1
25/10-3,NORDLAND GP. Top,-127,136,1
25/10-3,Utsira Fm. Top,-524,533,1
25/10-3,HORDALAND GP. Top,-729,738,1
25/10-3,Skade Fm. Top,-729,738,2
25/10-3,Skade Fm. Top,-1113,1122,1
25/10-4,Grid Fm. Top,-1393,1418,1
25/10-4,Statfjord Fm. Top,-1978,2003,1
25/10-4,VIKING GP. Top,-1936,1961,1
25/10-4,Draupne Fm. Top,-1936,1961,1
25/10-4,Draupne Fm. Top,-1957,1982,2
25/10-4,Heather Fm. Top,-1960,1985,1
25/10-4,Intra Draupne Fm. Sst. Top,-1938,1963,1
25/10-4,SHETLAND GP. Top,-1925,1950,1
25/10-4,ROGALAND GP. Top,-1657,1682,1
25/10-4,Balder Fm. Top,-1657,1682,1
25/10-4,Heimdal Fm. Top,-1735,1760,1
25/10-4,Lista Fm. Top,-1722,1747,1
25/10-4,Lista Fm. Top,-1849,1874,2
25/10-4,Sele Fm. Top,-1695,1720,1
25/10-4,NORDLAND GP. Top,-126,151,1
25/10-4,Utsira Fm. Top,-544,569,1
25/10-4,HORDALAND GP. Top,-715,740,1
25/10-4,Skade Fm. Top,-715,740,3
25/10-4,Skade Fm. Top,-1033,1058,1
25/10-4,Skade Fm. Top,-1178,1203,2
25/10-4 R,Grid Fm. Top,-1393,1418,1
25/10-4 R,Statfjord Fm. Top,-1978,2003,1
25/10-4 R,VIKING GP. Top,-1936,1961,1
25/10-4 R,Draupne Fm. Top,-1936,1961,1
25/10-4 R,Draupne Fm. Top,-1957,1982,2
25/10-4 R,Heather Fm. Top,-1960,1985,1
25/10-4 R,Intra Draupne Fm. Sst. Top,-1938,1963,1
25/10-4 R,SHETLAND GP. Top,-1925,1950,1
25/10-4 R,ROGALAND GP. Top,-1657,1682,1
25/10-4 R,Balder Fm. Top,-1657,1682,1
25/10-4 R,Heimdal Fm. Top,-1735,1760,1
25/10-4 R,Lista Fm. Top,-1722,1747,1
25/10-4 R,Lista Fm. Top,-1849,1874,2
25/10-4 R,Sele Fm. Top,-1695,1720,1
25/10-4 R,NORDLAND GP. Top,-126,151,1
25/10-4 R,Utsira Fm. Top,-544,569,1
25/10-4 R,HORDALAND GP. Top,-715,740,1
25/10-4 R,Skade Fm. Top,-715,740,3
25/10-4 R,Skade Fm. Top,-1033,1058,1
25/10-4 R,Skade Fm. Top,-1178,1203,2
25/10-5,Grid Fm. Top,-1374,1399,1
25/10-5,VIKING GP. Top,-1976,2001,1
25/10-5,SHETLAND GP. Top,-1966,1991,1
25/10-5,Ekofisk Fm. Top,-1966,1991,1
25/10-5,ROGALAND GP. Top,-1708,1733,1
25/10-5,Balder Fm. Top,-1779,1804,1
25/10-5,Heimdal Fm. Top,-1881,1906,1
25/10-5,Heimdal Fm. Top,-1925,1950,2
25/10-5,Lista Fm. Top,-1834,1859,1
25/10-5,Lista Fm. Top,-1914,1939,2
25/10-5,Lista Fm. Top,-1930,1955,3
25/10-5,Sele Fm. Top,-1795,1820,1
25/10-5,Sele Fm. Top,-1823,1848,2
25/10-5,Intra Balder Fm. Sst. Top,-1708,1733,1
25/10-5,NORDLAND GP. Top,-125,150,1
25/10-5,Utsira Fm. Top,-553,578,1
25/10-5,HORDALAND GP. Top,-918,943,1
25/10-5,Skade Fm. Top,-1052,1077,1
25/10-6 S,Grid Fm. Top,-1432.97,1456,1
25/10-6 S,Grid Fm. Top,-1467.97,1491,2
25/10-6 S,VIKING GP. Top,-3901,4240,1
25/10-6 S,Draupne Fm. Top,-3901,4240,1
25/10-6 S,Heather Fm. Top,-3955.43,4314,1
25/10-6 S,CROMER KNOLL GP. Top,-3625.67,3885,1
25/10-6 S,Roedby Fm. Top,-3625.67,3885,1
25/10-6 S,Sola Fm. Top,-3761.91,4057,1
25/10-6 S,Aasgard Fm. Top,-3775.25,4074,1
25/10-6 S,VESTLAND GP. Top,-3972.85,4338,1
25/10-6 S,Hugin Fm. Top,-3972.85,4338,1
25/10-6 S,Sleipner Fm. Top,-4084.34,4489,1
25/10-6 S,SHETLAND GP. Top,-2727.17,2789,1
25/10-6 S,Blodoeks Fm. Top,-3335.95,3521,1
25/10-6 S,Jorsalfare Fm. Top,-2727.17,2789,1
25/10-6 S,Kyrre Fm. Top,-2981.39,3069,1
25/10-6 S,Svarte Fm. Top,-3430.83,3639,1
25/10-6 S,Tryggvason Fm. Top,-3051.71,3160,1
25/10-6 S,ROGALAND GP. Top,-2089.7,2126,1
25/10-6 S,Balder Fm. Top,-2089.7,2126,1
25/10-6 S,Heimdal Fm. Top,-2273.61,2318,1
25/10-6 S,Lista Fm. Top,-2242.85,2286,1
25/10-6 S,Lista Fm. Top,-2563.72,2619,2
25/10-6 S,Sele Fm. Top,-2180.58,2221,1
25/10-6 S,Ty Fm. Top,-2581.08,2637,1
25/10-6 S,Vaale Fm. Top,-2628.35,2686,1
25/10-6 S,NORDLAND GP. Top,-117,140,1
25/10-6 S,Utsira Fm. Top,-421,444,1
25/10-6 S,HORDALAND GP. Top,-767.99,791,1
25/10-6 S,Skade Fm. Top,-767.99,791,1
25/10-7 S,Grid Fm. Top,-1496.65,1526,1
25/10-7 S,Grid Fm. Top,-1523.57,1553,2
25/10-7 S,SHETLAND GP. Top,-2536.68,2569,1
25/10-7 S,Ekofisk Fm. Top,-2536.68,2569,1
25/10-7 S,ROGALAND GP. Top,-2055.05,2086,1
25/10-7 S,Balder Fm. Top,-2055.05,2086,1
25/10-7 S,Heimdal Fm. Top,-2206.62,2238,1
25/10-7 S,Heimdal Fm. Top,-2372.15,2404,2
25/10-7 S,Lista Fm. Top,-2154.77,2186,1
25/10-7 S,Lista Fm. Top,-2341.24,2373,2
25/10-7 S,Lista Fm. Top,-2395.08,2427,3
25/10-7 S,Sele Fm. Top,-2090.95,2122,1
25/10-7 S,Ty Fm. Top,-2432.97,2465,1
25/10-7 S,Vaale Fm. Top,-2465.88,2498,1
25/10-7 S,NORDLAND GP. Top,-116.6,142,1
25/10-7 S,Utsira Fm. Top,-559.33,586,1
25/10-7 S,HORDALAND GP. Top,-795.65,823,1
25/10-7 S,Skade Fm. Top,-795.65,823,3
25/10-7 S,Skade Fm. Top,-1074.86,1103,1
25/10-7 S,Skade Fm. Top,-1124.71,1153,2
25/10-8,ROTLIEGENDES GP. Top,-2575.33,2601,1
25/10-8,Grid Fm. Top,-1525.5,1551,1
25/10-8,VIKING GP. Top,-2328.4,2354,1
25/10-8,Draupne Fm. Top,-2328.4,2354,1
25/10-8,Draupne Fm. Top,-2424.38,2450,2
25/10-8,Intra Draupne Fm. Sst. Top,-2346.39,2372,1
25/10-8,VESTLAND GP. Top,-2485.36,2511,1
25/10-8,Hugin Fm. Top,-2485.36,2511,1
25/10-8,SHETLAND GP. Top,-2183.44,2209,1
25/10-8,Ekofisk Fm. Top,-2183.44,2209,1
25/10-8,Tor Fm. Top,-2240.43,2266,1
25/10-8,ROGALAND GP. Top,-1915.47,1941,1
25/10-8,Balder Fm. Top,-1915.47,1941,1
25/10-8,Heimdal Fm. Top,-2051.46,2077,1
25/10-8,Lista Fm. Top,-2021.46,2047,1
25/10-8,Lista Fm. Top,-2096.46,2122,2
25/10-8,Sele Fm. Top,-1961.46,1987,1
25/10-8,Vaale Fm. Top,-2178.45,2204,1
25/10-8,NORDLAND GP. Top,-115,140,1
25/10-8,Utsira Fm. Top,-656.97,682,1
25/10-8,HORDALAND GP. Top,-820.97,846,1
25/10-8,Skade Fm. Top,-820.97,846,1
25/10-8 A,Grid Fm. Top,-1539.2,1737,1
25/10-8 A,VIKING GP. Top,-2322.71,3090,1
25/10-8 A,Draupne Fm. Top,-2322.71,3090,1
25/10-8 A,Draupne Fm. Top,-2510.26,3420,2
25/10-8 A,SHETLAND GP. Top,-2204.74,2884,1
25/10-8 A,Ekofisk Fm. Top,-2204.74,2884,1
25/10-8 A,Tor Fm. Top,-2264.15,2986,1
25/10-8 A,ROGALAND GP. Top,-1931.44,2417,1
25/10-8 A,Balder Fm. Top,-1931.44,2417,1
25/10-8 A,Heimdal Fm. Top,-2074.34,2662,1
25/10-8 A,Lista Fm. Top,-2027.86,2584,1
25/10-8 A,Lista Fm. Top,-2131.03,2759,2
25/10-8 A,Sele Fm. Top,-1981.77,2505,1
25/10-8 A,Vaale Fm. Top,-2186.34,2853,1
25/10-8 A,NORDLAND GP. Top,-115,140,1
25/10-8 A,Utsira Fm. Top,-646.98,672,1
25/10-8 A,HORDALAND GP. Top,-824.97,850,1
25/10-8 A,Skade Fm. Top,-824.97,850,2
25/10-8 A,Skade Fm. Top,-1081.87,1107,1
25/10-9,Grid Fm. Top,-1478.57,1504,1
25/10-9,Statfjord Fm. Top,-2935.19,2961,1
25/10-9,VIKING GP. Top,-2860.29,2886,1
25/10-9,Draupne Fm. Top,-2860.29,2886,1
25/10-9,CROMER KNOLL GP. Top,-2830.33,2856,1
25/10-9,Roedby Fm. Top,-2830.33,2856,1
25/10-9,VESTLAND GP. Top,-2892.24,2918,1
25/10-9,Hugin Fm. Top,-2892.24,2918,1
25/10-9,SHETLAND GP. Top,-2458.42,2484,1
25/10-9,Blodoeks Fm. Top,-2759.37,2785,1
25/10-9,Ekofisk Fm. Top,-2458.42,2484,1
25/10-9,Hod Fm. Top,-2711.39,2737,1
25/10-9,Tor Fm. Top,-2557.41,2583,1
25/10-9,ROGALAND GP. Top,-2020.51,2046,1
25/10-9,Balder Fm. Top,-2020.51,2046,1
25/10-9,Heimdal Fm. Top,-2284.46,2310,1
25/10-9,Lista Fm. Top,-2163.48,2189,1
25/10-9,Sele Fm. Top,-2090.5,2116,1
25/10-9,Vaale Fm. Top,-2361.45,2387,1
25/10-9,NORDLAND GP. Top,-117,142,1
25/10-9,Utsira Fm. Top,-548.95,574,1
25/10-9,HORDALAND GP. Top,-1051.92,1077,1
25/10-9,Skade Fm. Top,-1051.92,1077,1
25/11-1,Statfjord Fm. Top,-1961,1988,1
25/11-1,Skagerrak Fm. Top,-2082,2109,1
25/11-1,VIKING GP. Top,-1953,1980,1
25/11-1,Draupne Fm. Top,-1953,1980,1
25/11-1,CROMER KNOLL GP. Top,-1893,1920,1
25/11-1,Roedby Fm. Top,-1893,1920,1
25/11-1,Sola Fm. Top,-1911,1938,1
25/11-1,SHETLAND GP. Top,-1868,1895,1
25/11-1,Ekofisk Fm. Top,-1868,1895,1
25/11-1,ROGALAND GP. Top,-1671,1698,1
25/11-1,Balder Fm. Top,-1671,1698,1
25/11-1,Balder Fm. Top,-1741,1768,2
25/11-1,Lista Fm. Top,-1794,1821,1
25/11-1,Sele Fm. Top,-1751,1778,1
25/11-1,Sele Fm. Top,-1790,1817,2
25/11-1,Ty Fm. Top,-1841,1868,1
25/11-1,Intra Balder Fm. Sst. Top,-1726,1753,1
25/11-1,NORDLAND GP. Top,-127,154,1
25/11-1,Utsira Fm. Top,-588,615,1
25/11-1,HORDALAND GP. Top,-731,758,1
25/11-1,Skade Fm. Top,-731,758,2
25/11-1,Skade Fm. Top,-1058,1085,1
25/11-1,BASEMENT Top,-2364,2391,1
25/11-10,SHETLAND GP. Top,-1940.31,1968,1
25/11-10,Ekofisk Fm. Top,-1940.31,1968,1
25/11-10,ROGALAND GP. Top,-1656.25,1682,1
25/11-10,Balder Fm. Top,-1656.25,1682,1
25/11-10,Heimdal Fm. Top,-1759.74,1786,1
25/11-10,Heimdal Fm. Top,-1915.55,1943,2
25/11-10,Lista Fm. Top,-1716.96,1743,1
25/11-10,Lista Fm. Top,-1902.68,1930,2
25/11-10,Sele Fm. Top,-1699.05,1725,1
25/11-10,Vaale Fm. Top,-1930.41,1958,1
25/11-10,NORDLAND GP. Top,-124,149,1
25/11-10,Utsira Fm. Top,-575.99,601,1
25/11-10,HORDALAND GP. Top,-752.99,778,1
25/11-10,Skade Fm. Top,-752.99,778,4
25/11-10,Skade Fm. Top,-999.98,1025,1
25/11-10,Skade Fm. Top,-1133.97,1159,2
25/11-10,Skade Fm. Top,-1234.97,1260,3
25/11-11,Grid Fm. Top,-1192.93,1218,1
25/11-11,SHETLAND GP. Top,-1914.62,1940,1
25/11-11,Ekofisk Fm. Top,-1914.62,1940,1
25/11-11,ROGALAND GP. Top,-1629.84,1655,1
25/11-11,Balder Fm. Top,-1629.84,1655,1
25/11-11,Heimdal Fm. Top,-1728.82,1754,1
25/11-11,Lista Fm. Top,-1712.82,1738,1
25/11-11,Lista Fm. Top,-1869.7,1895,2
25/11-11,Sele Fm. Top,-1688.83,1714,1
25/11-11,Intra Balder Fm. Sst. Top,-1672.83,1698,1
25/11-11,NORDLAND GP. Top,-126,151,1
25/11-11,Utsira Fm. Top,-548.99,574,1
25/11-11,HORDALAND GP. Top,-732.99,758,1
25/11-11,Skade Fm. Top,-732.99,758,2
25/11-11,Skade Fm. Top,-1042.97,1068,1
25/11-12,SHETLAND GP. Top,-1878.85,1904,1
25/11-12,Ekofisk Fm. Top,-1878.85,1904,1
25/11-12,ROGALAND GP. Top,-1649.86,1675,1
25/11-12,Balder Fm. Top,-1649.86,1675,1
25/11-12,Heimdal Fm. Top,-1759.85,1785,1
25/11-12,Lista Fm. Top,-1725.85,1751,1
25/11-12,Sele Fm. Top,-1705.86,1731,1
25/11-12,Vaale Fm. Top,-1864.85,1890,1
25/11-12,NORDLAND GP. Top,-127,152,1
25/11-12,Utsira Fm. Top,-563.95,589,1
25/11-12,HORDALAND GP. Top,-723.95,749,1
25/11-12,Skade Fm. Top,-723.95,749,2
25/11-12,Skade Fm. Top,-968.95,994,3
25/11-12,Skade Fm. Top,-1217.93,1243,1
25/11-13,Grid Fm. Top,-1417,1442,1
25/11-13,SHETLAND GP. Top,-1883,1908,1
25/11-13,Ekofisk Fm. Top,-1883,1908,1
25/11-13,Tor Fm. Top,-1895,1920,1
25/11-13,ROGALAND GP. Top,-1653,1678,1
25/11-13,Balder Fm. Top,-1653,1678,1
25/11-13,Balder Fm. Top,-1706,1731,2
25/11-13,Balder Fm. Top,-1716,1741,3
25/11-13,Heimdal Fm. Top,-1833,1858,1
25/11-13,Lista Fm. Top,-1795,1820,1
25/11-13,Sele Fm. Top,-1719,1744,1
25/11-13,Sele Fm. Top,-1792,1817,2
25/11-13,Ty Fm. Top,-1850,1875,1
25/11-13,Vaale Fm. Top,-1837,1862,1
25/11-13,Intra Balder Fm. Sst. Top,-1703,1728,1
25/11-13,Intra Balder Fm. Sst. Top,-1712,1737,2
25/11-13,NORDLAND GP. Top,-127,152,1
25/11-13,Utsira Fm. Top,-571,596,1
25/11-13,HORDALAND GP. Top,-710,735,1
25/11-13,Skade Fm. Top,-710,735,3
25/11-13,Skade Fm. Top,-953,978,4
25/11-13,Skade Fm. Top,-1039,1064,1
25/11-13,Skade Fm. Top,-1177,1202,2
25/11-14 SR,ROGALAND GP. Top,-1737,1762,1
25/11-14 SR,Balder Fm. Top,-1737,1762,1
25/11-14 SR,Heimdal Fm. Top,-1878,1903,1
25/11-14 SR,Lista Fm. Top,-1834,1859,1
25/11-14 SR,Sele Fm. Top,-1809,1834,1
25/11-14 SR,NORDLAND GP. Top,-127,152,1
25/11-14 SR,Utsira Fm. Top,-575,600,1
25/11-14 SR,HORDALAND GP. Top,-723,748,1
25/11-14 SR,Skade Fm. Top,-723,748,1
25/11-15,Grid Fm. Top,-1467.35,1491,1
25/11-15,Statfjord Fm. Top,-1959.16,1983,1
25/11-15,VIKING GP. Top,-1954.17,1978,1
25/11-15,Draupne Fm. Top,-1954.17,1978,1
25/11-15,CROMER KNOLL GP. Top,-1902.2,1926,1
25/11-15,Roedby Fm. Top,-1902.2,1926,1
25/11-15,Sola Fm. Top,-1918.19,1942,1
25/11-15,Aasgard Fm. Top,-1930.18,1954,1
25/11-15,SHETLAND GP. Top,-1794.29,1818,1
25/11-15,Blodoeks Fm. Top,-1869.22,1893,1
25/11-15,Hidra Fm. Top,-1880.22,1904,1
25/11-15,Hod Fm. Top,-1843.25,1867,1
25/11-15,Tor Fm. Top,-1794.29,1818,1
25/11-15,ROGALAND GP. Top,-1636.35,1660,1
25/11-15,Balder Fm. Top,-1636.35,1660,1
25/11-15,Heimdal Fm. Top,-1710.34,1734,1
25/11-15,Lista Fm. Top,-1654.35,1678,1
25/11-15,Lista Fm. Top,-1774.3,1798,2
25/11-15,Sele Fm. Top,-1650.35,1674,1
25/11-15,Vaale Fm. Top,-1783.3,1807,1
25/11-15,NORDLAND GP. Top,-127.5,151,1
25/11-15,Utsira Fm. Top,-628.41,652,1
25/11-15,HORDALAND GP. Top,-774.39,798,1
25/11-15,Skade Fm. Top,-774.39,798,2
25/11-15,Skade Fm. Top,-1008.38,1032,1
25/11-16,Grid Fm. Top,-1495.89,1521,1
25/11-16,SHETLAND GP. Top,-1871.86,1897,1
25/11-16,Hod Fm. Top,-1910.86,1936,1
25/11-16,Tor Fm. Top,-1871.86,1897,1
25/11-16,ROGALAND GP. Top,-1672.86,1698,1
25/11-16,Balder Fm. Top,-1672.86,1698,1
25/11-16,Heimdal Fm. Top,-1741.86,1767,1
25/11-16,Lista Fm. Top,-1713.86,1739,1
25/11-16,Lista Fm. Top,-1846.86,1872,2
25/11-16,Sele Fm. Top,-1707.86,1733,1
25/11-16,Vaale Fm. Top,-1859.86,1885,1
25/11-16,NORDLAND GP. Top,-120,145,1
25/11-16,Utsira Fm. Top,-637.95,663,1
25/11-16,HORDALAND GP. Top,-810.94,836,1
25/11-16,Skade Fm. Top,-810.94,836,1
25/11-17,Statfjord Fm. Top,-1967.65,1997,1
25/11-17,VIKING GP. Top,-1955.65,1985,1
25/11-17,Draupne Fm. Top,-1955.65,1985,1
25/11-17,CROMER KNOLL GP. Top,-1891.65,1921,1
25/11-17,Roedby Fm. Top,-1891.65,1921,1
25/11-17,Sola Fm. Top,-1921.65,1951,1
25/11-17,Aasgard Fm. Top,-1936.65,1966,1
25/11-17,SHETLAND GP. Top,-1712.66,1742,1
25/11-17,Hod Fm. Top,-1817.65,1847,1
25/11-17,Svarte Fm. Top,-1852.65,1882,1
25/11-17,Tor Fm. Top,-1712.66,1742,1
25/11-17,Tryggvason Fm. Top,-1840.65,1870,1
25/11-17,ROGALAND GP. Top,-1557.72,1587,1
25/11-17,Balder Fm. Top,-1557.72,1587,1
25/11-17,Lista Fm. Top,-1622.69,1652,1
25/11-17,Sele Fm. Top,-1617.69,1647,1
25/11-17,Vaale Fm. Top,-1691.66,1721,1
25/11-17,NORDLAND GP. Top,-124,153,1
25/11-17,Utsira Fm. Top,-748,777,1
25/11-17,HORDALAND GP. Top,-867.99,897,1
25/11-17,Skade Fm. Top,-867.99,897,1
25/11-17,BASEMENT Top,-2213.58,2243,1
25/11-18,Skade Mb. Top,-942.96,965,1
