,L,iterations,regularization,MAE
194,4,90,10.0,165.13212065489478
195,4,100,0.001,30.877928852785068
196,4,100,0.01,20.29060456226841
197,4,100,0.1,45.04037858041759
198,4,100,1.0,49.06831643179437
199,4,100,10.0,170.884972985807
200,5,10,0.001,24.039148505309985
201,5,10,0.01,21.69811931678061
202,5,10,0.1,19.75290291513678
203,5,10,1.0,23.16115735106518
204,5,10,10.0,39.85129146317663
205,5,20,0.001,26.455429148210506
206,5,20,0.01,22.062553130730752
207,5,20,0.1,19.723473797483575
208,5,20,1.0,25.379768397572864
209,5,20,10.0,58.81299678269483
210,5,30,0.001,24.829924408155993
211,5,30,0.01,22.6187630828831
212,5,30,0.1,19.682594594465918
213,5,30,1.0,27.357409222573075
214,5,30,10.0,74.35149071786775
215,5,40,0.001,24.882171886908058
216,5,40,0.01,21.885510730649276
217,5,40,0.1,20.165913038167727
218,5,40,1.0,30.736347753825896
219,5,40,10.0,83.68305466641269
220,5,50,0.001,24.85512084205788
221,5,50,0.01,21.615331818043646
222,5,50,0.1,21.23742476646489
223,5,50,1.0,32.72894675537944
224,5,50,10.0,91.01442876198749
225,5,60,0.001,24.794894291620032
226,5,60,0.01,21.105054658131152
227,5,60,0.1,22.11329754862285
228,5,60,1.0,33.00298203126792
229,5,60,10.0,102.19248671691543
230,5,70,0.001,23.80065810868758
231,5,70,0.01,21.627023740008113
232,5,70,0.1,22.664354848463766
233,5,70,1.0,35.042773458890984
234,5,70,10.0,114.49037645335287
235,5,80,0.001,24.018725698957386
236,5,80,0.01,21.869741802182045
237,5,80,0.1,22.981513396185573
238,5,80,1.0,35.94037152805169
239,5,80,10.0,127.51682349470927
240,5,90,0.001,24.13009953419514
241,5,90,0.01,22.029326922011663
242,5,90,0.1,23.135432975380333
243,5,90,1.0,37.13569871633646
244,5,90,10.0,140.7903471668961
245,5,100,0.001,24.47679659907389
246,5,100,0.01,21.93486669407549
247,5,100,0.1,23.056857229111205
248,5,100,1.0,36.8255913384092
249,5,100,10.0,154.5315050433985
250,6,10,0.001,31.267628190535913
251,6,10,0.01,27.79003903111058
252,6,10,0.1,25.140959087033618
253,6,10,1.0,27.262158122090746
254,6,10,10.0,51.78754287272544
255,6,20,0.001,33.1686797289529
256,6,20,0.01,28.184792347657126
257,6,20,0.1,24.924487917704205
258,6,20,1.0,32.929291532823044
259,6,20,10.0,69.30058064650773
260,6,30,0.001,32.011683964711224
261,6,30,0.01,29.313702530371305
262,6,30,0.1,23.285847792594105
263,6,30,1.0,36.01718501133689
264,6,30,10.0,77.48999362894298
265,6,40,0.001,33.292162664343316
266,6,40,0.01,30.696524699230178
267,6,40,0.1,21.960318536032656
268,6,40,1.0,38.47528675418626
269,6,40,10.0,81.10154583187239
270,6,50,0.001,35.58194305894879
271,6,50,0.01,31.722479947310443
272,6,50,0.1,22.02970116370473
273,6,50,1.0,40.56815747377665
274,6,50,10.0,85.99416373294466
275,6,60,0.001,36.8958223970856
276,6,60,0.01,31.534559445869494
277,6,60,0.1,21.997510894610507
278,6,60,1.0,41.67496592343322
279,6,60,10.0,92.26113508251991
280,6,70,0.001,37.486119509046496
281,6,70,0.01,31.807175255001887
282,6,70,0.1,22.01345343517447
283,6,70,1.0,42.029106031182394
284,6,70,10.0,97.47930331565745
285,6,80,0.001,38.22423348513822
286,6,80,0.01,32.27551318992592
287,6,80,0.1,22.01605718133323
288,6,80,1.0,43.32903213399017
289,6,80,10.0,102.27974384244449
290,6,90,0.001,38.82277085660881
291,6,90,0.01,31.905433698484593
292,6,90,0.1,21.939604764021038
293,6,90,1.0,45.59333187236094
294,6,90,10.0,108.90290074923703
295,6,100,0.001,39.598405725056296
296,6,100,0.01,31.580589603371603
297,6,100,0.1,21.96805742501613
298,6,100,1.0,48.31117227858696
299,6,100,10.0,116.77740604732779
300,7,10,0.001,42.25733933769995
301,7,10,0.01,35.00509877486263
302,7,10,0.1,31.918611467790786
303,7,10,1.0,29.97902460205977
304,7,10,10.0,53.20921987080726
305,7,20,0.001,38.495716400650494
306,7,20,0.01,33.437440723198435
307,7,20,0.1,29.056515350305453
308,7,20,1.0,31.428709759349672
309,7,20,10.0,67.96340443949066
310,7,30,0.001,37.63727766497654
311,7,30,0.01,33.31169833150665
312,7,30,0.1,28.736789995167452
313,7,30,1.0,33.908431965224494
314,7,30,10.0,85.37563963635671
315,7,40,0.001,37.95082102947267
316,7,40,0.01,33.80062077058474
317,7,40,0.1,29.405135584390766
318,7,40,1.0,35.759297755812256
319,7,40,10.0,93.51585315858549
320,7,50,0.001,40.885946428708564
321,7,50,0.01,34.266465050006296
322,7,50,0.1,29.79255389494928
323,7,50,1.0,36.22610966174702
324,7,50,10.0,100.04719307624545
325,7,60,0.001,43.342613831675905
326,7,60,0.01,34.59273937112346
327,7,60,0.1,29.953078308027116
328,7,60,1.0,36.93108251269435
329,7,60,10.0,102.31807240976092
330,7,70,0.001,44.61839046571473
331,7,70,0.01,35.30306624767497
332,7,70,0.1,30.171624627190077
333,7,70,1.0,38.93636071888811
334,7,70,10.0,108.12204608737433
335,7,80,0.001,45.50912255784703
336,7,80,0.01,36.852550018425745
337,7,80,0.1,30.287537022466875
338,7,80,1.0,41.396650333961034
339,7,80,10.0,112.45867679634785
340,7,90,0.001,46.54188046167277
341,7,90,0.01,37.67929226327853
342,7,90,0.1,30.429512598482976
343,7,90,1.0,44.40151895157763
344,7,90,10.0,116.09858953472259
345,7,100,0.001,48.539390581693176
346,7,100,0.01,37.91867742285809
347,7,100,0.1,30.82154562005421
348,7,100,1.0,48.39333583133192
349,7,100,10.0,119.21253529207027
350,8,10,0.001,64.518694937624
351,8,10,0.01,48.55773825414781
352,8,10,0.1,39.8780523536096
353,8,10,1.0,35.41374800354437
354,8,10,10.0,58.81734872769988
355,8,20,0.001,56.29680970441447
356,8,20,0.01,46.06138058185213
357,8,20,0.1,34.86681215702569
358,8,20,1.0,37.057394242886986
359,8,20,10.0,70.79830855462039
360,8,30,0.001,62.989529941334695
361,8,30,0.01,46.68220762003852
362,8,30,0.1,33.14536495993787
363,8,30,1.0,41.40773315972652
