,L,iterations,MAE
360,2,290,33.64048105943016
361,2,290,38.233130352656076
362,2,290,16.11524587168424
363,2,290,28.741522046130562
364,2,290,123.11874218160887
365,2,300,34.206237860529114
366,2,300,38.19209881250683
367,2,300,16.115293166512767
368,2,300,28.842925934383164
369,2,300,122.65607753886212
370,2,310,34.72012362052489
371,2,310,38.152983148424866
372,2,310,16.125861738347744
373,2,310,28.934209625337004
374,2,310,122.19833466708852
375,2,320,35.18594819171742
376,2,320,38.115386541869746
377,2,320,16.141466372475147
378,2,320,29.016463809048496
379,2,320,121.76222711475245
380,2,330,35.606307124316636
381,2,330,38.07912546521059
382,2,330,16.159147012871035
383,2,330,29.090797016087897
384,2,330,121.22678259143048
385,2,340,36.005118091806864
386,2,340,38.044002927700355
387,2,340,16.176475309927845
388,2,340,29.15820918250244
389,2,340,120.72160872170994
390,2,350,36.37061056584688
391,2,350,38.009817763635425
392,2,350,16.193580487839437
393,2,350,29.219558326259232
394,2,350,120.20419066965924
395,2,360,36.70192438226342
396,2,360,37.97648517294296
397,2,360,16.210180101319033
398,2,360,29.275602306541597
399,2,360,119.65413292335374
400,2,370,37.003440450819625
401,2,370,37.94361190226465
402,2,370,16.226321900258622
403,2,370,29.327005709431205
404,2,370,119.08577099558622
405,2,380,37.28134500651289
406,2,380,37.91079835774067
407,2,380,16.24192109180536
408,2,380,29.374333113706037
409,2,380,118.48749544614611
410,2,390,37.54613409773411
411,2,390,37.87738246077485
412,2,390,16.25725357190202
413,2,390,29.41802409918028
414,2,390,117.86248829433767
415,2,400,37.81928263996501
416,2,400,37.84171696577369
417,2,400,16.27212588070933
418,2,400,29.458433882954562
419,2,400,117.21146776920462
420,2,410,38.692734725967334
421,2,410,37.797680066889704
422,2,410,16.2864952107751
423,2,410,29.495866082151828
424,2,410,116.5250400238858
425,2,420,41.98618524993806
426,2,420,37.4579509670998
427,2,420,16.30039058557593
428,2,420,29.530593270435535
429,2,420,115.80024940625864
430,2,430,40.14041456516789
431,2,430,36.85911611010066
432,2,430,16.31392235514953
433,2,430,29.562904926024736
434,2,430,115.03890151949906
435,2,440,40.17753473929018
436,2,440,36.84613326595081
437,2,440,16.32719546198753
438,2,440,29.59301147587761
439,2,440,114.26393261944031
440,3,10,23.83459748174066
441,3,10,19.753782647034562
442,3,10,17.907207831227964
443,3,10,17.105318346140155
444,3,10,86.33267043391103
445,3,20,21.778014767710914
446,3,20,19.326155206550393
447,3,20,17.16783349716916
448,3,20,17.428887040031956
449,3,20,131.919408031699
450,3,30,23.205026089405344
451,3,30,19.90804315504211
452,3,30,17.639638591768637
453,3,30,18.788939531907047
454,3,30,165.4017562732201
455,3,40,24.448061224880465
456,3,40,20.453532967319624
457,3,40,17.53426919991049
458,3,40,21.07492696842787
459,3,40,182.60293750281744
460,3,50,24.773609392733952
461,3,50,20.656187938903226
462,3,50,17.679686054451444
463,3,50,26.562335461781288
464,3,50,190.08541626045576
465,3,60,25.209930692175764
466,3,60,20.764552018864713
467,3,60,17.64736145388396
468,3,60,39.385804531035774
469,3,60,193.10710366729256
470,3,70,25.576193729760178
471,3,70,20.859002868614784
472,3,70,17.467933478824943
473,3,70,50.79916243962807
474,3,70,195.3225514872499
475,3,80,25.800420529576222
476,3,80,21.043648497725634
477,3,80,17.429128571619458
478,3,80,56.222548517389896
479,3,80,196.8800183078211
480,3,90,25.995929162703934
481,3,90,21.26554452940273
482,3,90,17.39620782099874
483,3,90,59.02027216548589
484,3,90,197.2105552602239
485,3,100,26.486866869382638
486,3,100,21.48602005231271
487,3,100,17.369803888341227
488,3,100,59.96717629684664
489,3,100,199.1906385343861
490,3,110,27.435701607700473
491,3,110,21.674519349996693
492,3,110,17.346745545164822
493,3,110,62.06974073550819
494,3,110,201.16715820924705
495,3,120,28.708750124854653
496,3,120,21.880076035239007
497,3,120,17.325127683715017
498,3,120,63.58423723578159
499,3,120,202.61296029912535
500,3,130,30.058744680487973
501,3,130,22.068038992353507
502,3,130,17.30408776120679
503,3,130,65.24603993047768
504,3,130,203.4366771945277
505,3,140,31.381419800472052
506,3,140,22.221514422921015
507,3,140,17.283562318842108
508,3,140,66.37503838060695
509,3,140,204.36788026888394
510,3,150,32.606390209142795
511,3,150,22.33193255110563
512,3,150,17.263742787281522
513,3,150,67.11393297649897
514,3,150,204.02000151232915
515,3,160,33.68573133754175
516,3,160,22.39708118183043
517,3,160,17.24558360846496
518,3,160,68.0868552247974
519,3,160,202.50167940854942
520,3,170,34.59460336898965
521,3,170,22.44050799640877
522,3,170,17.23031030018037
523,3,170,70.9289417072838
524,3,170,200.7868668847457
525,3,180,35.33223514098863
526,3,180,22.4532890049181
527,3,180,17.215570442203177
528,3,180,72.82140175130607
529,3,180,199.10671364428364
530,3,190,35.91390119713103
531,3,190,22.76864584278498
532,3,190,17.200573446483904
533,3,190,73.8674483600596
534,3,190,197.87395547946136
535,3,200,36.36377950316172
536,3,200,23.74437865110602
537,3,200,17.200367535927285
538,3,200,74.44832400826343
539,3,200,196.85627747849125
540,3,210,36.70815563960042
541,3,210,24.148513204694893
542,3,210,17.22686419886984
543,3,210,74.7738462631434
