API,Elevation
490251076000,5218
490251076100,5270
490251076200,5265
490251076300,5246
490251076400,5258
490251076500,5253
490251076600,5059
490251076700,5217
490251076800,5129
490251076900,5108
490251077000,5136
490251077100,5076
490251077200,5092
490251077300,5126
490251077400,5130
490251077600,5128
490251077700,5170
490251077800,5203
490251078000,5089
490251078100,5115
490251078200,5102
490251078300,5178
490251078400,5213
490251078600,5175
490251078700,5316
490251078800,5168
490251078900,5232
490251079000,5269
490251079200,5361
490251079300,4988
490251079400,5092
490251079500,5039
490251079600,5120
490251079700,5054
490251079800,4985
490251079900,5123
490251080200,5130
490251080300,5166
490251080400,5196
490251080500,5244
490251080600,5287
490251080700,5247
490251080800,5233
490251081000,5233
490251081100,5211
490251081300,5184
490251081400,5163
490251081500,5167
490251081600,5166
490251081700,5167
490251081800,5249
490251081900,5173
490251082000,5267
490251082100,5166
490251082200,5174
490251082300,5178
490251082400,5159
490251082500,5168
490251082600,5164
490251082700,5173
490251082800,5167
490251082900,5165
490251083000,5157
490251083100,5234
490251083101,5234
490251083200,5198
490251083300,5176
490251083500,5189
490251083600,5198
490251083700,5194
490251083800,5193
490251083900,5199
490251084000,5191
490251084100,5196
490251084200,5199
490251084300,5193
490251084400,5196
490251084500,5042
490251084600,5173
490251084700,5199
490251084800,5009
490251084900,5061
490251085000,5162
490251085100,5131
490251085300,5252
490251085400,5038
490251085600,5205
490251085700,5196
490251085800,5195
490251086000,5173
490251086200,5194
490251086300,5267
490251086400,5257
490251086600,5088
490251086700,5068
490251086800,5241
490251086900,5206
490251087100,5287
490251087200,5199
490251087300,5196
490251087400,5133
490251087500,5216
490251087600,5286
490251087700,5092
490251087800,5057
490251088000,5192.19
490251088100,5115
490251088200,5239
490251088400,5022
490251088500,5101
490251088600,5070
490251088700,5049
490251088900,5008
490251089000,5190
490251089100,5182
490251089400,5170
490251089500,5177
490251089600,5164
490251089700,5149
490251090100,5199
490251090200,5218
490251090300,5305
490251090400,5189
490251090600,5068
490251090900,5182
490251091000,5243
490251091100,5192
490251091200,5187
490251091300,5243
490251091400,5120
490251091600,5160
490251091700,5196
490251091900,5184
490251092000,5157
490251092200,5182
490251092300,5199
490251092500,5181
490251092700,5455
490251092800,5165
490251093000,5171
490251093100,5157
490251093300,5201
490251093700,5176
490251093900,5182
490251094000,5193
490251094100,5166
490251094200,5231
490251094300,5157
490251094400,5100
490251095000,5187
490251095100,5153
490251095400,5171
490251095500,5176
490251095600,5234
490251095700,5228
490251095900,5338
490251096000,5242
490251096300,5088
490251096500,5096
490251096600,5101
490251096700,5224
490251096800,5142
490251096900,5211
490251097000,5167
490251097100,5032
490251097200,5170
490251097300,5137
490251097500,5213
490251097600,5186
490251097700,5186
490251097800,5180
490251097900,5193
490251098000,5200
490251098100,5203
490251098200,5199
490251098300,5260
490251098400,5220
490251098500,5114
490251098600,5249
490251098800,5197
490251098900,5153
490251099000,5269
490251099200,5134
490251099301,5308
490251099400,5162
490251099500,5179
490251099600,5158
490251099700,5188
490251099900,5201
490251100000,5207
490251100100,5184
490251100200,5179
490251100300,5156
490251100400,5156
490251100500,5157
490251100600,5194
490251100700,5163
490251100800,5162
490251100900,5156
490251101000,5159
490251101100,5222
490251101200,5321
490251101600,4983
490251101700,5197
490251101800,5226
490251101900,5095
490251102000,5093
490251102100,5123
490251102200,5201
490251102300,5230.4
490251102400,5197.3
490251102500,5184
490251102700,5235
490251103200,5120
490251103300,5160
490251103400,5218
490251103500,5163
490251103800,5112
490251103900,5115
490251104000,5113
490251104100,5110
490251104200,5147
490251104300,5242
490251104400,5255
490251104500,5128
490251104600,5152
490251104700,5184
490251104800,5093
490251104900,5165
490251105000,5197
490251105200,5092
490251105300,5099
490251105400,5195.5
490251105500,5252
490251105600,5070.3
490251105700,5245
490251105800,5233
490251106000,5248
490251106100,5095
490251106200,5289
490251106300,5161
490251106500,5187.8
490251106600,5231
490251106700,5122
490251106800,5126
490251106900,5136
490251107000,5148
490251107100,5142
490251107200,5192
490251107300,5070
490251107400,5231
490251107500,5175
490251107600,5182
490251107700,5256
490251107800,5245
490251107900,5238
490251108000,5216
490251108100,5193
490251108200,5234
490251108300,5174
490251108400,5196
490251108500,5199
490251108600,5175
490251108700,5201
490251108800,5212.8
