,SitID,Formation,MD,Quality,UWI,DATUM,GL,EREF,UNIT,datum,UWI (AGS),TVDSS
176,102577,9500,478.0,3,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,200.0
177,102577,10000,483.0,3,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,195.0
178,102577,11000,487.5,1,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,190.5
179,102577,12000,487.5,1,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,190.5
180,102577,13000,487.5,1,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,190.5
181,102577,14000,552.0,1,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,126.0
182,102581,1000,351.0,1,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,350.6
186,102581,5000,469.0,1,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,232.60000000000002
188,102581,7000,497.0,3,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,204.60000000000002
189,102581,9000,500.5,3,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,201.10000000000002
190,102581,9500,500.5,3,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,201.10000000000002
191,102581,10000,505.0,3,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,196.60000000000002
192,102581,11000,509.0,1,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,192.60000000000002
193,102581,12000,509.0,1,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,192.60000000000002
194,102581,13000,509.0,1,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,192.60000000000002
195,102581,14000,570.0,1,00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6,0674043307000,131.60000000000002
196,102583,1000,336.0,1,00/13-03-067-05W4/0,657.56,654.2,657.56,M,657.56,0674050313000,321.55999999999995
200,102583,5000,446.0,1,00/13-03-067-05W4/0,657.56,654.2,657.56,M,657.56,0674050313000,211.55999999999995
202,102583,7000,479.0,1,00/13-03-067-05W4/0,657.56,654.2,657.56,M,657.56,0674050313000,178.55999999999995
205,102583,10000,483.0,1,00/13-03-067-05W4/0,657.56,654.2,657.56,M,657.56,0674050313000,174.55999999999995
206,102583,11000,487.0,2,00/13-03-067-05W4/0,657.56,654.2,657.56,M,657.56,0674050313000,170.55999999999995
207,102583,12000,487.0,2,00/13-03-067-05W4/0,657.56,654.2,657.56,M,657.56,0674050313000,170.55999999999995
208,102583,13000,487.0,2,00/13-03-067-05W4/0,657.56,654.2,657.56,M,657.56,0674050313000,170.55999999999995
209,102583,14000,543.5,1,00/13-03-067-05W4/0,657.56,654.2,657.56,M,657.56,0674050313000,114.05999999999995
210,102589,1000,333.0,1,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,327.02
