API,Formation,MD,Datum Elevation
490251029900,SSXbase,64.16,
490251029900,SHNNu,431.67,
490251029900,SHNNl,523.55,
490251029900,SHNNbs,593.38,
490250654500,SSXS,278.47,
490250654500,SSXbase,328.17,
490250654500,SHNNl,780.56,
490250654500,SHNNu,684.29,
490251002100,CRLL,2398,
490251002100,NBRRws,1941.69,
490251057800,SHNNu,430.83,
490251057800,SHNNl,518.31,
490251057800,F1WC,2642.79,
490251057800,F2WCbase,3124.34,
490251057800,CRLL,2402.42,
490251057800,B1,2882.08,
490251057800,F2WC,3053.96,
490251057800,SHNNbs,587.25,
490251057800,F1WCbase,2833.57,
490251104500,SHNNu,364.28,
490251104500,SHNNl,449.73,
490251108900,SHNNu,400.82,
490251108900,SHNNl,487.77,
490251108900,SHNNbs,563.94,
490251108900,SSXbase,24.54,
490251041800,F2WCbase,3030.86,
490251041800,F2WC,2964.67,
490251065900,F2WC,2755.17,
490251065900,F2WCbase,2796.8,
490251065900,F1WC,2343.47,
490251065900,F1WCbase,2372.03,
490251065900,CRLL,2092.78,
490251065900,NBRRsg,1864.31,
490251065900,NBRRws,1634.24,
490251065900,B1,2573,
490251065900,SHNNu,130.21,
490251065900,SHNNl,227.39,
490251065900,SHNNbs,295.08,
490251039300,F2WCbase,2976.49,
490251039300,F2WC,2904.5,
490251039300,SHNNbs,423.74,
490251039300,SHNNl,349.23,
490251039300,SHNNu,258.43,
490251039300,NBRRws,1813.68,
490251039300,NBRRsg,2029.04,
490251039300,CRLL,2266.11,
490251039300,F2WCbase,2961.32,
490251039300,B1,2728.15,
490251039300,F1WC,2522.92,
490251039300,F1WCbase,2620.23,
490251039300,StBR,646.63,
490251039300,StFT,1032.56,
490251039300,StAM,1681.06,
490251039300,StGD,1580.14,
490251110000,B1,2880.22,
490251110000,CRLL,2421.18,
490251110000,SHNNl,501.01,
490251110000,SHNNu,414.94,
490251110000,SHNNbs,582.17,
490251110000,F2WC,3053.03,
490251110000,SSXbase,57.02,
490251110000,SSXS,15.22,
490251110000,F1WC,2667.26,
490251110000,F1WCbase,2678.26,
490251110000,CRLL,2421.14,
490251110000,NBRRsg,2191.48,
490251110000,NBRRws,1960.42,
490251110000,F1WC,2666.64,
490251110000,F2WCbase,3132.16,
490251110000,F1WCbase,2832.26,
490251063200,SSXbase,245.56,
490251063200,SSXS,199.35,
490251063200,SHNNu,613.35,
490251063200,SHNNl,692.3,
490251063200,SHNNbs,769.33,
490250651800,SHNNu,734.49,
490250651800,SHNNbs,880.22,
490250651800,SSXS,314.78,
490250651800,SHNNl,819.01,
490250651800,SSXbase,365.79,
490251078400,SSXbase,30.55,
490251078400,SHNNu,409.66,
490251078400,SHNNl,492.71,
490251078400,SHNNbs,571.15,
490251071400,SHNNl,467.76,
490251071400,SHNNu,378.48,
490251071400,SHNNbs,539.18,
490251089700,F1WC,2548.44,
490251089700,CRLL,2300.86,
490251089700,F1WCBench1Base,2569.21,
490251089700,F2WCbase,3000.88,
490251089700,F1WCbase,2712,
490251089700,B1,2763.61,
490251089700,F1WC,2548.09,
490251089700,F1WCbase,2563.77,
490251089700,CRLL,2300.76,
490251089700,NBRRws,1967.77,
490251089700,NBRRsg,2204.24,
490251089700,SHNNbs,596,
490251089700,SHNNl,521.2,
490251089700,SHNNu,428.3,
490251089700,SSXbase,61.53,
490251089700,SSXS,15.68,
490251089700,F2WC,2930.18,
490251089700,MWRY,3331.51,
490252271000,SHNNu,368.39,
490252271000,SHNNl,455.86,
490252271000,SSXbase,12.43,
490252271000,SHNNbs,528.53,
490251109800,SSXbase,47.99,
490251109800,SHNNu,420.12,
490251109800,SHNNbs,551.45,
490251109800,SHNNl,476.3,
490251041700,B1,2862.75,
490251041700,F1WC,2619.97,
490251041700,F2WCbase,3118.17,
490251041700,SHNNu,417.88,
490251041700,SHNNl,483.24,
490251041700,SHNNbs,554.2,
490251041700,F2WC,3036.54,
490251041700,F1WCbase,2816,
490251112100,SHNNl,477.85,
490251112100,SHNNu,389.9,
490251112100,F1WC,2601.4,
490251112100,CRLL,2364.1,
490251112100,F2WC,3012.98,
490251112100,SHNNbs,552.65,
490251112100,SSXbase,15.99,
490251112100,F2WCbase,3082.77,
490251112100,B1,2842.03,
490251112100,F1WCbase,2793.42,
490251119600,F2WCbase,2813.55,
490251119600,F2WC,2765.66,
490251119600,NBRRws,1684.29,
490251119600,NBRRsg,1893.64,
490251119600,F1WC,2358.33,
490251119600,F1WCbase,2386.87,
490251119600,CRLL,2110.92,
490251119600,B1,2587.91,
490251119600,SHNNu,131.91,
490251119600,SHNNl,227.4,
490251119600,SHNNbs,298.72,
490251028100,SHNNl,473.56,
490251028100,SHNNu,389.62,
490251028100,SHNNbs,550.33,
490251028100,SSXbase,48.74,
490250650200,SSXS,253.64,
490250650200,SHNNl,762.02,
490250650200,SSXbase,302.18,
490250650200,SHNNu,667.63,
490251033100,CRLL,2776.93,
490251033100,SSXbase,406.96,
490251033100,SSXS,361.23,
490251033100,SHNNu,777.64,
490251033100,SHNNl,870.78,
490251033100,SHNNbs,935.7,
490251032700,SHNNl,499.94,
490251032700,SHNNu,412.26,
490251032700,SSXbase,54.7,
490251032700,SHNNbs,572.46,
490251070900,B Dolo,5378.64,
490251070900,C1 Dolo,5453.49,
490251070900,A Sand,5369.34,
490251070900,B Sand,5398.87,
490251070900,OPCH,5308.86,
490251070900,MNKT,5286.77,
490251070900,F2WC,2775.85,
490251070900,SHNNu,134.39,
490251070900,SHNNl,233.59,
490251070900,F2WCbase,2822.61,
490251070900,F3WC,3008.72,
490251070900,F3WCbase,3016.65,
490251070900,MWRY,3270.42,
490251070900,F1WC,2369.55,
490251070900,F1WCbase,2477.96,
490251070900,NBRRsg,1917.53,
490251070900,DKOT,3673.79,
490251070900,NBRRws,1695.48,
490251070900,MRSN,3801.98,
490251070900,ALCV,4373.11,
490251070900,B1,2597.71,
490251070900,SHNNbs,303.31,
490251070900,StFT,931.86,
490251070900,LAKev,4238.83,
490251070900,CRMT,4327.14,
490251070900,LAKss,4147.5,
490251070900,CNSP,4320.65,
490251070900,FRLL,5215.86,
490251070900,TensleepFluidLevel,-308,
490251070900,StTC,420.26,
490251070900,THRM,3529.76,
490251070900,StGD,1463.9,
490251070900,MDDY,3517.21,
490251070900,SNDCu,4010.7,
490251070900,LKOT,3753,
490251070900,CRMT,4319.96,
490251070900,RDPK,4400.21,
490251070900,StAM,1563.1,
490251070900,StBR,548.51,
490251107100,SHNNl,458.82,
490251107100,SHNNu,366.29,
490251107100,B1,2820.77,
490251107100,F2WCbase,3068.68,
