UWI,DATUM,GL,EREF,UNIT,datum
00/05-10-078-12W4/0,674.797,674.797,674.797,M,674.797
00/05-12-069-06W4/0,719.6,716,719.6,M,719.6
00/05-12-075-05W4/0,609.08,609.08,612.85,M,612.85
00/05-12-079-21W4/0,566.25,566.25,569.55,M,569.55
00/05-12-093-20W4/0,1767,1762,1767,F,538.5816
00/05-13-071-10W4/0,679.68,679.68,684.3,M,684.3
00/05-13-087-18W4/0,511.33,507.83,511.33,M,511.33
00/05-14-069-05W4/0,673.9,673.9,677.5,M,677.5
00/05-14-080-12W4/0,689.7,686,689.7,M,689.7
00/05-15-069-11W4/0,623.6,623.6,627.05,M,627.05
00/05-15-078-04W4/0,566.5,562.55,566.5,M,566.5
00/05-15-080-11W4/0,687,684,687,M,687
00/05-18-071-05W5/0,795.4,795.4,798.4,M,798.4
00/05-19-070-05W4/0,667,667.3,671,M,671
00/05-19-077-04W4/0,563.2,563.2,566.2,M,566.2
00/05-19-078-12W4/0,685.19,685.19,685.19,M,685.19
00/05-19-079-02W4/0,526.2,522.7,526.2,M,526.2
00/05-20-070-05W5/0,738.2,738.2,742,M,742
00/05-20-080-13W4/0,692.9,689.7,692.9,M,692.9
00/05-21-071-04W4/0,673.76,673.76,677.96,M,677.96
00/05-21-074-04W4/0,598,598,601.9,M,601.9
00/05-21-078-05W4/0,579.5,575.9,579.5,M,579.5
00/05-22-070-13W4/0,581.6,581.6,584.7,M,584.7
00/05-22-082-04W4/0,460.2,456.56,460.2,M,460.2
00/05-23-070-06W4/0,657,657,660.6,M,660.6
00/05-23-076-01W5/0,862.83,862.83,866.33,M,866.33
00/05-24-071-19W4/0,589.6,589.6,593.2,M,593.2
00/05-24-080-23W4/0,583,583,587.65,M,587.65
00/05-24-094-18W4/0,543.44,539.64,543.44,M,543.44
00/05-25-081-03W5/0,574.37,574.37,578.37,M,578.37
00/05-25-093-20W4/0,535.534,534.01,535.534,M,535.534
