API Number,Operator,Well Name,Well Number,Northing,Easting,Well Status,Class,Total Depth,Datum Elevation,Datum Type,State,County,Country,Field,Basin,Lease Name,Ground Elevation,Plugback Depth,Spud Date,Completion Date,Common Well Name,Legal Survey Type,Location
490251133400,U.S. DOE,NPR-3,54-3-SX-10,953907.2,801910.8,PA,,470,5187,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5182,398,4/24/1991,,54-3-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490251133500,U.S. DOE,NPR-3,54-4-SX-10,953898.8,801949.8,PA,,471,5187,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5182,,4/25/1991,,54-4-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490251133600,U.S. DOE,NPR-3,64-1-SX-10,953980.2,802312.3,PA,I,440,5190,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5185,,4/29/1991,,64-1-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490251133700,U.S. DOE,NPR-3,64-2-SX-10,953964.3,802332.3,PA,I,440,5190,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5185,,4/30/1991,,64-2-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490251133800,U.S. DOE,NPR-3,64-3-SX-10,954161,802543.5,PA,I,470,5187,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5182,,5/1/1991,,64-3-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490251133900,U.S. DOE,NPR-3,64-4-SX-10,954144.7,802559.2,PA,I,470,5187,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5182,,5/2/1991,,64-4-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490251134000,U.S. DOE,NPR-3,73-2-SX-10,954328.3,802889.8,PA,I,470,5183,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5178,,5/6/1991,,73-2-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490251134100,U.S. DOE,NPR-3,51-41-SX-3,961175.6,801710.4,PA,,381,5169.1,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5169.1,0,7/25/1985,,51-41-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251134200,U.S. DOE,NPR-3,55-44-SX-3,958423.9,801717.3,PA,O,397,5164.8,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5164.8,,7/22/1985,,55-44-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251134300,U.S. DOE,NPR-3,55-56-SX-3,958336.8,801591.5,PA,O,402,5168,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5168,,7/2/1985,,55-56-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251134400,U.S. DOE,NPR-3,55-61-SX-3,958714,801940.2,PA,O,420,5160,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5160.8,,6/25/1985,,55-61-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251134500,U.S. DOE,NPR-3,55-65-SX-3,958360.6,801852.3,PA,O,394,5168,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5168,,6/27/1985,,55-65-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251134600,U.S. DOE,NPR-3,65-15-SX-3,958381.6,802041.2,PA,O,399,5161.8,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5162,,7/1/1985,7/2/1985,65-15-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251134700,U.S. DOE,NPR-3,65-24-SX-3,958459.3,802055,PA,O,424,5161,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5161,,6/29/1985,,65-24-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251134900,Mammoth Production,NPR-3,101-A-15,950589.9,803092.7,PA,O,3025,5244,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5244,0,9/24/1922,5/5/1923,101-A-15,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 15
490251135000,Mammoth Production,NPR-3,202-A-3,959609.6,799046.7,PA,O,3075,5231.75,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5231.75,,4/19/1923,,202-A-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251135100,U.S. DOE,NPR-3,57-3-SX-3,956866.3,801511.3,PA,O,471,5191.3,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5181.3,418,10/7/1990,,57-3-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251135300,Mammoth Production,NPR-3,203-A-34,964220.5,799600.7,PA,O,2906,5084.6,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,4/20/1923,6/15/1923,203-A-34,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 34 
490251135400,Mammoth Production,NPR-3,204-A-34,964203.3,798944.2,PA,O,2885,5092.9,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,5/21/1923,7/12/1923,204-A-34,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 34 
490251135500,Mammoth Production,NPR-3,102-A-33,964859.8,796299.6,PA,O,2905,5146,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5146,,6/13/1923,,102-A-33,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 33 
490251135600,Mammoth Production,NPR-3,104-A-33,966152.8,796298.2,PA,O,2868,5118.7,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,5/15/1923,,104-A-33,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 33 
490251135700,Mammoth Production,NPR-3,201-A-10,954073.1,800340.7,PA,O,3061,5238,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,3051,9/25/1922,4/6/1905,201-A-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490251135800,Mammoth Production,NPR-3,301-A-14,946010.8,804130.2,PA,O,3275,5238.7,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,9/26/1922,2/20/1923,301-A-14,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 14
490251135900,Mammoth Production,NPR-3,301-A-21,974215.4,795783.5,PA,O,2880,4991.3,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,4986,,7/26/1922,3/22/1923,301-A-21,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 21 
490251136000,Mammoth Production,NPR-3,404-A-28,966808.4,797581.7,PA,O,2884,5080.5,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,6/19/1923,8/10/1923,404-A-28,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 28
490251136600,U.S. DOE,NPR-3,85-StX-3(/),958468.8,803526.5,PA,O,2366,5129,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5129,530,7/7/1984,,85-STX-3(/),CONGRESS,TWP: 38  N - Range: 78 W - Sec. 3  
490251136800,U.S. DOE,NPR-3,15-X-3,958629.8,798899.4,PA,O,2230,5226.6,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5216,,9/18/1988,,15-X-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490251136900,U.S. DOE,NPR-3,31-X-3,961146.3,800183.6,PA,O,,5208,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,12/4/1987,,31-X-3,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 3  
490251137000,U.S. DOE,NPR-3,14-X-10,953547.5,799003.5,PA,,2590,5278,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5268,,9/12/1988,,14-X-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490251137100,U.S. DOE,NPR-3,63-StX-33,964935.3,796662.4,PA,O,1950,5149.6,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5139,,10/2/1987,10/4/1987,63-STX-33,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 33
490251137200,Mammoth Production,NPR-3,106-Sh-29,969958.8,791594.9,PA,,941,4980.33,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,4980.33,0,4/28/1923,5/12/1923,106-SH-29,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 29
490251137400,Mammoth Production,NPR-3,105-A-20,974514.6,792152,PA,O,2945,5005.6,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,4995,2702,4/27/1923,7/27/1923,105-A-20,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 20
490251137700,U.S. DOE,NPR-3,36-StX-23,942187.8,806222.4,PR,O,1330,5320,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,12/29/1984,,36-STX-23,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 23
490251143800,Mammoth Production ,NPR-3,406-A-20,972599.6,792891.4,PA,,2759,4998.8,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,7/7/1923,9/19/1923,406-A-20,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 20
490251143900,Mammoth Production,NPR-3,407-A-20,974010.7,792187.2,PA,,2704,5007,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,5/27/1924,7/11/1923,407-A-20,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 20 
490251144000,Mammoth Production,NPR-3,304-A-21,973966.8,793506.1,PA,,2890,4982.9,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,9/20/1923,,304-A-21,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 21
490251144100,Mammoth Production,NPR-3,101-A-28,971673.1,798218.9,PA,,2815,5021.38,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,9/21/1922,2/20/1923,101-A-28,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 28
490251144200,Mammoth Production,NPR-3,302-A-28,967008.2,795304.9,PA,,3065,5093.67,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,8/22/1923,3/6/1924,302-A-28,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 28
490251144300,Mammoth Production,NPR-3,101-A-29,971266.6,790782.7,PA,,2786,5006.25,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,4/1/1923,6/5/1923,101-A-29,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 29 
490251144400,Mammoth Production,NPR-3,201-A-29,971362.4,790399.1,PA,,2788,5011.58,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,4976,2782,7/20/1922,11/29/1922,201-A-29,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 29 
490251144500,Mammoth Production,NPR-3,410-A-20,972575.1,790893.7,PA,,2741,5022,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5043,,5/26/1924,7/17/1924,410-A-20,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 20
490251144600,U.S. DOE,NPR-3,41-AX-15,950390.3,801121.2,PA,Junk,872,5252,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5242,,6/29/1980,,41-AX-15,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 15
490251144900,Mammoth Production,NPR-3,203-A-28,970672.2,793573.2,PA,,2815,4974.26,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,8/20/1923,,203-A-28,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 28
490251145000,Mutual Oil Co.,NPR-3,6-A-20,973974.4,790862.9,PA,,2388,5052,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5052,2230,6/23/1922,8/2/1922,6-A-20,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 20
490251145200,Mammoth Production,NPR-3,408-A-20,974004,791586.7,PA,,2906,5028.75,DF,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,,,,5/30/1923,8/24/1923,408-A-20,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 20
490251145900,U.S. DOE,NPR-3,55-X-27,969048.9,801364.9,PA,,2650,5040,GR,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5040,,,,55-X-27,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 27 
490251146100,U.S. DOE,NPR-3,86-X-33,962664.6,798593.7,PA,DH,2200,5131.6,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5119.8,575,10/31/1986,11/3/1986,86-X-33,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 33
490251146200,Mammoth Production,NPR-3,201-A-34,964146.3,801123.5,PA,,2975,5105.72,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5106,0,,3/4/1923,201-A-34,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 34 
490251147800,U.S. DOE,NPR-3,66-X-23,941982.7,807877.2,PA,,3202,5418.6,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5408,1550,9/7/1987,9/9/1987,66-X-23,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 23
490251150000,U.S. DOE,NPR-3,11-X-10,955854.8,798992.7,PA,,,4995,GR,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,,,11-X-10,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 10 
490252244500,U.S. DOE,NPR-3,73-4-SX-10,954537.9,803206.5,PR,O,490,5171,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5171,,10/6/1983,,73-4-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252244600,U.S. DOE,NPR-3,72-1-SX-10,955070.1,803616.1,PR,O,530,5150,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5140,,10/14/1983,,72-1-SX-10,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 10 
490252244700,U.S. DOE,NPR-3,71-1-SX-10,956124.4,802873.6,PA,O,485,5152,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5142,,9/30/1991,,71-1-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252244800,U.S. DOE,NPR-3,68-1-SX-3,956488.1,802586.9,PR,O,485,5163,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5153,,9/27/1991,,68-1-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490252244900,U.S. DOE,NPR-3,15-10,952833,801515.9,PA,,240,5203,GR,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5203,,9/22/1983,,15-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245000,U.S. DOE,NPR-3,10-Nov,953088.5,802260,PA,,230,5194,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5194,,9/27/1983,,10-Nov,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245100,U.S. DOE,NPR-3,10-Jul,954243,802952.2,PA,,230,5175,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5175,,10/4/1983,,10-Jul,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245200,U.S. DOE,NPR-3,10-Jun,954263.4,803245.9,PA,,240,5175,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5175,,10/6/1983,,10-Jun,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245300,U.S. DOE,NPR-3,10-Dec,953054.4,802004.2,PA,,210,5198,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5198,,9/27/1983,,10-Dec,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245400,U.S. DOE,NPR-3,10-Jan,955115.2,803872.4,PA,,260,5148,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5148,,10/21/1984,,10-Jan,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245500,U.S. DOE,NPR-3,10-Apr,954581.9,803524.5,PA,,240,5145,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5145,,10/13/1983,,10-Apr,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245600,U.S. DOE,NPR-3,14-10,952857,801828,PA,,240,5178,GR,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,9/23/1983,,14-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245700,U.S. DOE,NPR-3,10-Aug,953945.7,802970.3,PA,,320,5182,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5182,,10/5/1983,,10-Aug,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245800,U.S. DOE,NPR-3,19-10,952342,801220.4,PA,,260,5206,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5206,,9/14/1983,,19-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252245900,U.S. DOE,NPR-3,16-10,952726.9,801268.2,PA,,240,5187,GR,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5187,,9/21/1983,,16-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252246000,U.S. DOE,NPR-3,18-10,952565.1,800907.3,PA,,180,5205,GR,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5205,,9/15/1983,,18-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252246100,U.S. DOE,NPR-3,21-10,952260.5,800576,PA,,2160,5264,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5253,2160,9/13/1983,,21-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252246200,U.S. DOE,NPR-3,17-10,952683.8,801530.5,PA,,240,5204,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5204,,9/19/1983,,17-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252246300,U.S. DOE,NPR-3,31-10,952547.1,800888.2,PA,,260,5208,GR,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,10/20/1983,10/21/1983,31-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252246400,U.S. DOE,NPR-3,29-10,952587.3,800910,PA,,200,5206,GR,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5206,,9/26/1983,,29-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252246500,U.S. DOE,NPR-3,13-10,953106.6,801806.5,PA,,220,5195,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,0,9/23/1983,,13-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252247100,U.S. DOE,NPR-3,87-1-SX-10,952285.7,803996.3,PR,O,2156,5249,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5239,,1/2/1992,,87-1-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252247200,U.S. DOE,NPR-3,18-1-SX-2,956864.8,804617.7,PR,,680,5158,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5148,,12/21/1991,,18-1-SX-2,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 2 
490252247400,U.S. DOE,NPR-3,65-1-SX-3,958236.2,802613.9,PR,O,510,5150,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5148,,12/12/1991,,65-1-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 
490252247500,U.S. DOE,NPR-3,88-1-SX-10,951651.5,803412.8,PR,O,600,5253,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5243,,8/30/1994,,88-1-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10
490252247600,U.S. DOE,NPR-3,21-1-ShX-2,961318.3,804640.6,PR,,830,5120,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5110,,11/10/1991,,21-1-ShX-2,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 2 
490252247700,U.S. DOE,NPR-3,42-1-SX-14,949851.3,806105.1,PR,O,2433,5213,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5201,796,1/10/1992,1/13/1992,42-1-SX-14,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 14 
490252247800,U.S. DOE,NPR-3,26-1-SX-35,962732.5,804591.6,PR,O,2650,5108,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5098,,11/18/1991,,26-1-SX-35,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 35
490252247900,U.S. DOE,NPR-3,26-StX-14,947412.9,805068.9,PR,O,817,5231,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,,,11/7/1994,,26-STX-14,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 14
